piece,big5,race,religion,count,demvote,issues,partisan_score,ticket_splitters,percent,support,repcomp,demcomp
Protestant White Straight No degree Suburban Married men,Mosaic middle,White,Protestant,1114.356827,29.68999036,0.435519736,30.31942806,7.643781504,0.541897123,Mixed,0.377597015,0.164300108
Protestant White Straight College degree Rural Married women,Mosaic middle,White,Protestant,1101.145841,44.95392551,0.599321912,47.33829932,8.377035338,0.535472794,Mixed,0.28198908,0.253483714
Protestant White Straight No degree Suburban Unmarried women,Mosaic middle,White,Protestant,1099.624827,46.49479619,0.575013637,48.19010167,9.229332153,0.534733145,Mixed,0.277044699,0.257688446
Nothing in particular White Straight No degree Suburban Married women,Mosaic middle,White,Nothing in particular,1017.861481,55.00388204,0.595224107,50.55601805,6.904482367,0.494972701,Mixed,0.244734213,0.250238488
Nothing in particular White Straight No degree Suburban Married men,Mosaic middle,White,Nothing in particular,1003.648034,41.81880783,0.550764813,43.39451923,6.341433099,0.488060888,Mixed,0.276269212,0.211791676
Catholic White Straight College degree Suburban Unmarried women,Mosaic middle,White,Catholic,984.1336563,53.32679251,0.620586026,54.21423098,6.611849923,0.478571302,Mixed,0.219117551,0.259453751
Evangelical White Straight College degree Rural Unmarried women,White evangelicals,White,Evangelical,981.2897028,23.74251397,0.455806617,25.94850335,7.730518292,0.477188324,Republican,0.353365096,0.123823228
Protestant White Straight College degree Rural Married men,Mosaic middle,White,Protestant,978.4985484,36.61817992,0.482217843,38.88947696,7.668707039,0.475831023,Mixed,0.290782827,0.185048196
Nothing in particular White Straight No degree Suburban Unmarried women,Mosaic middle,White,Nothing in particular,967.5493635,63.8168754,0.647106515,60.2297438,5.928224911,0.470506577,Mixed,0.187121671,0.283384906
Nothing in particular White Straight No degree Suburban Unmarried men,Mosaic middle,White,Nothing in particular,964.8287523,43.84750316,0.558288199,46.17082742,5.479611171,0.46918358,Mixed,0.252557639,0.216625941
Evangelical White Straight College degree Suburban Unmarried women,White evangelicals,White,Evangelical,953.2896145,29.90574336,0.487062085,31.20770667,9.628602549,0.463572248,Mixed,0.318901981,0.144670267
Protestant White Straight No degree Rural Unmarried men,Mosaic middle,White,Protestant,928.892948,23.8544911,0.472249337,27.67140999,5.372210458,0.451708469,Republican,0.326714367,0.124994102
Catholic White Straight No degree Rural Unmarried women,Mosaic middle,White,Catholic,925.7309417,40.41414543,0.541169546,42.688905,7.846617361,0.450170827,Mixed,0.25799783,0.192172997
